open_timestamp_utc,close_timestamp_utc,open,high,low,close,volume
1565107200,1565110799,1.4103,1.88,1.4103,1.7838,574014.92
1565110800,1565114399,1.7846,1.7858,1.5125,1.5322,980934.3
1565114400,1565117999,1.5322,1.5391,1.501,1.533,324297.31
1565118000,1565121599,1.533,1.5469,1.48,1.4823,175698.33
1565121600,1565125199,1.485,1.4867,1.4063,1.416,183151.8
1565125200,1565128799,1.416,1.55,1.4099,1.5329,315799.66
1565128800,1565132399,1.5051,1.5296,1.47,1.48,182760.05
1565132400,1565135999,1.4831,1.494,1.4604,1.4913,80666.25
1565136000,1565139599,1.4909,1.4996,1.455,1.4721,45059.11
1565139600,1565143199,1.4725,1.4752,1.452,1.4675,19655.74
1565143200,1565146799,1.4673,1.4759,1.45,1.463,16719.24
1565146800,1565150399,1.4677,1.4701,1.45,1.4542,20629.94
1565150400,1565153999,1.4615,1.479,1.4542,1.479,41749.73
1565154000,1565157599,1.479,1.492,1.47,1.4702,25637.78
1565157600,1565161199,1.4759,1.4828,1.47,1.47,11664.7
1565161200,1565164799,1.47,1.4701,1.4561,1.4577,9484.53
1565164800,1565168399,1.458,1.4625,1.454,1.454,2319.77
1565168400,1565171999,1.454,1.4563,1.44,1.4563,11199.09
1565172000,1565175599,1.4515,1.456,1.4514,1.4514,297.15
1565175600,1565179199,1.451,1.451,1.42,1.4255,29859.66
1565179200,1565182799,1.4264,1.4306,1.3751,1.383,94904.82
1565182800,1565186399,1.3836,1.4099,1.3765,1.4099,39179.28
1565186400,1565189999,1.4099,1.41,1.3902,1.4061,23678.83
1565190000,1565193599,1.4062,1.4097,1.3694,1.408,42227.86
1565193600,1565197199,1.404,1.409,1.383,1.388,37064.46
1565197200,1565200799,1.3879,1.3879,1.3615,1.375,55921.45
1565200800,1565204399,1.375,1.3751,1.3404,1.361,93078.29
1565204400,1565207999,1.3593,1.371,1.3416,1.3695,24070.6
1565208000,1565211599,1.3695,1.3785,1.3538,1.3551,53730.14
1565211600,1565215199,1.3551,1.3664,1.346,1.36,42148.97
1565215200,1565218799,1.3598,1.3642,1.33,1.3493,72818.81
1565218800,1565222399,1.3475,1.35,1.3325,1.3491,21774.78
1565222400,1565225999,1.3497,1.35,1.3307,1.3423,14162.72
1565226000,1565229599,1.3403,1.3552,1.3293,1.3444,100629.3
1565229600,1565233199,1.3444,1.355,1.3293,1.3522,34264.48
1565233200,1565236799,1.3522,1.3917,1.3506,1.3897,41994.09
1565236800,1565240399,1.3905,1.455,1.3894,1.4488,158019.43
1565240400,1565243999,1.448,1.448,1.4063,1.407,35016.76
1565244000,1565247599,1.4094,1.41,1.3888,1.3888,66964.22
1565247600,1565251199,1.3922,1.42,1.3917,1.42,4839.16
1565251200,1565254799,1.425,1.431,1.42,1.431,11735.8
1565254800,1565258399,1.4295,1.4314,1.4,1.4,11277.4
1565258400,1565261999,1.3963,1.3964,1.3888,1.3888,2746.61
1565262000,1565265599,1.3888,1.3941,1.3551,1.3551,19705.28
1565265600,1565269199,1.3552,1.3679,1.3552,1.3601,3218.26
1565269200,1565272799,1.3601,1.3633,1.3507,1.3507,5125.25
1565272800,1565276399,1.3522,1.3605,1.3475,1.3547,24704.8
1565276400,1565279999,1.3551,1.3632,1.3477,1.3545,11676.69
1565280000,1565283599,1.3556,1.3974,1.3552,1.3944,22745.9
1565283600,1565287199,1.394,1.49,1.379,1.489,368625.73
1565287200,1565290799,1.4783,1.5,1.4256,1.4703,585171.46
1565290800,1565294399,1.472,1.7,1.3969,1.7,2886493.07
1565294400,1565297999,1.7,1.9822,1.5442,1.56,2534779.12
1565298000,1565301599,1.5569,1.5897,1.4432,1.5226,855408.59
1565301600,1565305199,1.5263,1.555,1.5,1.521,276833.86
1565305200,1565308799,1.5204,1.59,1.512,1.5792,383693.22
1565308800,1565312399,1.5758,1.59,1.5329,1.5492,508649.56
1565312400,1565315999,1.5494,1.5559,1.52,1.5493,271747.91
1565316000,1565319599,1.542,1.552,1.52,1.5227,210742.89
1565319600,1565323199,1.5227,1.5494,1.5001,1.5049,260159.33
1565323200,1565326799,1.5049,1.545,1.46,1.4949,274673.29
1565326800,1565330399,1.4948,1.529,1.4918,1.5003,64576.66
1565330400,1565333999,1.5003,1.5175,1.4822,1.4882,51213.7
1565334000,1565337599,1.4882,1.5061,1.4822,1.4889,51613.38
1565337600,1565341199,1.4889,1.5166,1.4606,1.4607,71556.73
1565341200,1565344799,1.4606,1.4848,1.4124,1.4196,112543.86
1565344800,1565348399,1.4172,1.4203,1.4,1.4,84531.77
1565348400,1565351999,1.4001,1.4012,1.36,1.3836,136540.6
1565352000,1565355599,1.3822,1.56,1.3778,1.4734,472209.0
1565355600,1565359199,1.4737,1.4929,1.413,1.413,242137.46
1565359200,1565362799,1.4238,1.449,1.4048,1.4157,174219.67
1565362800,1565366399,1.4155,1.4365,1.4062,1.4085,166262.46
1565366400,1565369999,1.4127,1.44,1.3989,1.4048,168313.41
1565370000,1565373599,1.4108,1.4387,1.4,1.4253,237588.92
1565373600,1565377199,1.4209,1.4344,1.4177,1.4226,68856.69
1565377200,1565380799,1.4259,1.426,1.3901,1.4085,100922.0
1565380800,1565384399,1.4085,1.4925,1.4074,1.482,272511.31
1565384400,1565387999,1.482,1.482,1.41,1.4247,153536.12
1565388000,1565391599,1.4274,1.4729,1.423,1.433,126695.93
1565391600,1565395199,1.4329,1.45,1.4271,1.433,46964.45
1565395200,1565398799,1.4307,1.4487,1.409,1.4278,86090.35
1565398800,1565402399,1.4227,1.4499,1.4,1.4186,286327.83
1565402400,1565405999,1.4186,1.4324,1.3811,1.409,207377.91
1565406000,1565409599,1.4098,1.4232,1.401,1.418,10248.73
1565409600,1565413199,1.4209,1.421,1.4106,1.4144,25383.64
1565413200,1565416799,1.4172,1.4172,1.3847,1.3924,123785.99
1565416800,1565420399,1.3917,1.4211,1.3917,1.4065,80834.76
1565420400,1565423999,1.4096,1.4096,1.3973,1.4001,30451.51
